"Annotator 1","Annotator 2","Annotator 3","Annotator 4","Annotator 5"
82,84,84,82,84
85,84,84,84,81
83,84,84,83,87
151,156,0,0,148
66,67,67,66,67
70,72,69,69,70
71,70,71,70,71
48,88,48,48,48
68,68,68,68,67
66,67,66,65,67
67,67,66,66,68
67,67,34,68,35
82,90,0,78,80
90,92,90,90,92
102,102,95,100,98
126,126,0,62,65
110,108,110,110,110
120,122,120,120,124
113,116,116,115,117
63,66,64,60,63
83,82,84,80,82
93,93,93,95,91
82,82,82,82,81
57,69,70,69,54
64,63,63,64,61
68,66,68,68,68
67,67,68,67,65
0,73,0,0,61
76,75,75,76,74
105,105,106,100,117
107,108,108,110,107
0,78,0,78,81
72,76,72,72,75
76,73,78,74,80
75,75,75,75,75
160,140,0,78,77
83,84,82,84,83
83,84,84,84,86
78,78,78,78,80
120,102,0,100,125
97,95,96,96,95
96,97,96,96,97
98,96,96,100,97
67,67,64,66,65
96,96,96,100,96
95,96,95,95,90
0,150,0,0,98
0,75,0,72,105
